# Quartus II Version 5.1 Internal Build 160 09/19/2005 TO Full Version,
# File: D:\de2_pins\de2_pins.csv,
# Generated on: Wed Sep 28 09:40:34 2005,

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.,

To,Location
RST,PIN_N25
HEX[0],PIN_R2
HEX[1],PIN_P4
HEX[2],PIN_P3
HEX[3],PIN_M2
HEX[4],PIN_M3
HEX[5],PIN_M5
HEX[6],PIN_M4
HEX[7],PIN_L3
HEX[8],PIN_L2
HEX[9],PIN_L9
HEX[10],PIN_L6
HEX[11],PIN_L7
HEX[12],PIN_P9
HEX[13],PIN_N9
RST,PIN_G26
LEDR[0],PIN_AE23
LEDR[1],PIN_AF23
LEDR[2],PIN_AB21
LEDR[3],PIN_AC22
LEDR[4],PIN_AD22
LEDR[5],PIN_AD23
LEDR[6],PIN_AD21
LEDR[7],PIN_AC21
LEDR[8],PIN_AA14
LEDR[9],PIN_Y13
LEDR[10],PIN_AA13
LEDR[11],PIN_AC14
LEDG,PIN_AE22
CLK,PIN_N2
UART_RX,PIN_C25
